opening_id,engine_seed,months,death_turn,surface,root_cause,doom_final,cash_m6,publish_paper,safety_research,capability_research,buy_compute,fundraise_small,fundraise_big,take_loan,apply_grant,network,audit_safety,order_supplies,team_building,media_campaign,desperation_lever,funding_strings,hire_safety_researcher,hire_capability_researcher
49,sweep-02,18,398,doom,ledger,100.0,16284,3,2,3,1,4,1,1,5,3,5,2,0,0,3,0,2,1
50,sweep-00,8,192,doom,ledger,100.0,6289,2,1,4,2,4,1,8,1,0,1,0,2,1,1,4,2,2
50,sweep-01,20,451,doom,doom,100.0,85835,2,1,4,2,4,1,8,1,0,1,0,2,1,1,4,2,2
50,sweep-02,10,235,doom,ledger,100.0,3853,2,1,4,2,4,1,8,1,0,1,0,2,1,1,4,2,2
51,sweep-00,17,383,doom,ledger,100.0,82645,2,1,2,2,1,2,3,1,3,5,2,0,0,3,2,4,3
51,sweep-01,17,378,doom,ledger,100.0,19837,2,1,2,2,1,2,3,1,3,5,2,0,0,3,2,4,3
51,sweep-02,9,206,doom,doom,100.0,12849,2,1,2,2,1,2,3,1,3,5,2,0,0,3,2,4,3
52,sweep-00,8,185,doom,doom,100.0,283131,2,2,2,0,3,3,2,1,6,0,1,5,2,1,4,1,1
52,sweep-01,12,267,doom,doom,100.0,226737,2,2,2,0,3,3,2,1,6,0,1,5,2,1,4,1,1
52,sweep-02,7,165,doom,doom,100.0,213829,2,2,2,0,3,3,2,1,6,0,1,5,2,1,4,1,1
53,sweep-00,12,281,doom,doom,100.0,197830,1,2,1,1,2,2,2,0,3,4,3,1,6,1,2,3,2
53,sweep-01,5,123,doom,ledger,100.0,14000,1,2,1,1,2,2,2,0,3,4,3,1,6,1,2,3,2
53,sweep-02,12,276,doom,doom,100.0,141947,1,2,1,1,2,2,2,0,3,4,3,1,6,1,2,3,2
54,sweep-00,14,308,doom,doom,100.0,56722,0,3,2,2,0,2,2,1,2,3,3,0,3,1,4,2,6
54,sweep-01,12,273,doom,ledger,100.0,65798,0,3,2,2,0,2,2,1,2,3,3,0,3,1,4,2,6
54,sweep-02,13,300,doom,doom,100.0,46830,0,3,2,2,0,2,2,1,2,3,3,0,3,1,4,2,6
55,sweep-00,5,124,doom,ledger,100.0,0,3,4,4,0,0,3,1,1,5,1,1,3,2,1,3,2,2
55,sweep-01,26,572,doom,doom,100.0,564,3,4,4,0,0,3,1,1,5,1,1,3,2,1,3,2,2
55,sweep-02,22,496,doom,ledger,100.0,5821,3,4,4,0,0,3,1,1,5,1,1,3,2,1,3,2,2
56,sweep-00,13,289,doom,doom,100.0,65009,4,2,1,1,1,1,4,1,2,1,3,3,1,1,5,2,3
56,sweep-01,19,421,doom,ledger,100.0,297853,4,2,1,1,1,1,4,1,2,1,3,3,1,1,5,2,3
56,sweep-02,20,443,doom,doom,100.0,289030,4,2,1,1,1,1,4,1,2,1,3,3,1,1,5,2,3
